> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #10120@57] Sensed 0 robots
[B: #10819@57] Sensed 0 robots
[B: #13990@57] Can sense kingLoc [55, 28] ? false at distSquared 58
[B: #11456@57] Sensed 1 robots
[B: #11456@57] Received 0 messages
[B: #12806@57] Sensed 0 robots
[B: #11028@57] Sensed 0 robots
[B: #12917@57] Sensed 1 robots
[B: #12917@57] Received 0 messages
[B: #10120@58] Sensed 1 robots
[B: #10120@58] Received 0 messages
[B: #10819@58] Sensed 0 robots
[B: #13990@58] Can sense kingLoc [55, 28] ? false at distSquared 40
[B: #11456@58] Sensed 2 robots
[B: #11456@58] Received 0 messages
[B: #11456@58] Received 0 messages
[B: #11061@58] Found a cheese mine at [22, 33]
[B: #11061@58] Going straight to cheese mine at [22, 33]
[B: #12806@58] Sensed 0 robots
[B: #11028@58] Sensed 0 robots
[B: #12917@58] Sensed 1 robots
[B: #12917@58] Received 0 messages
[B: #10120@59] Sensed 1 robots
[B: #10120@59] Received 0 messages
[B: #10819@59] Sensed 0 robots
[B: #13990@59] Can sense kingLoc [55, 28] ? false at distSquared 29
[B: #11456@59] Sensed 0 robots
[B: #11061@59] Going straight to cheese mine at [22, 33]
[B: #12806@59] Sensed 0 robots
[B: #11028@59] Sensed 0 robots
[B: #12917@59] Sensed 1 robots
[B: #12917@59] Received 0 messages
[B: #10120@60] Sensed 1 robots
[B: #10120@60] Received 0 messages
[B: #10819@60] Sensed 0 robots
[B: #13990@60] Can sense kingLoc [55, 28] ? true at distSquared 20
[B: #13990@60] From [51, 30] Sent a squeak 14689 for mine at [37, 33]
[B: #11456@60] Sensed 0 robots
[B: #11061@60] Can sense kingLoc [55, 28] ? false at distSquared 1098
[B: #12806@60] Sensed 0 robots
[B: #11028@60] Sensed 0 robots
[B: #12917@60] Sensed 1 robots
[B: #12917@60] Received 0 messages
[B: #10120@61] Sensed 0 robots
[B: #10819@61] Sensed 0 robots
[B: #13990@61] Going straight to cheese mine at [37, 33]
[B: #11456@61] Sensed 0 robots
[B: #11061@61] Can sense kingLoc [55, 28] ? false at distSquared 1033
[B: #12806@61] Sensed 0 robots
[B: #11028@61] Sensed 0 robots
[B: #12917@61] Sensed 1 robots
[B: #12917@61] Received 0 messages
[B: #10120@62] Sensed 0 robots
[B: #10819@62] Sensed 0 robots
[B: #13990@62] Going straight to cheese mine at [37, 33]
[B: #11456@62] Sensed 0 robots
[B: #11061@62] Can sense kingLoc [55, 28] ? false at distSquared 970
[B: #12806@62] Sensed 0 robots
[B: #11028@62] Sensed 0 robots
[B: #12917@62] Sensed 0 robots
[B: #11118@62] Sensed 1 robots
[B: #10120@63] Sensed 0 robots
[B: #10819@63] Sensed 0 robots
[B: #13990@63] Going straight to cheese mine at [37, 33]
[B: #11456@63] Sensed 0 robots
[B: #11061@63] Can sense kingLoc [55, 28] ? false at distSquared 970
[B: #12806@63] Sensed 0 robots
[B: #11028@63] Sensed 0 robots
[B: #12917@63] Sensed 0 robots
[B: #11118@63] Sensed 1 robots
[B: #10120@64] Sensed 0 robots
[B: #10819@64] Sensed 0 robots
[B: #13990@64] Going straight to cheese mine at [37, 33]
[B: #11456@64] Sensed 0 robots
