> Task :compileJava UP-TO-DATE
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] shredders vs. teacher08a on toomuchcheese
[B: #12848@60] Going straight to cheese mine at [26, 14]
[B: #12765@61] Sensed 1 robots
[B: #12765@61] Received 0 messages
[B: #14029@61] Going straight to cheese mine at [26, 14]
[B: #13525@61] Sensed 1 robots
[B: #13525@61] Received 0 messages
[B: #11367@61] Sensed 1 robots
[B: #11367@61] Received 0 messages
[B: #11454@61] Sensed 4 robots
[B: #11454@61] Received 0 messages
[B: #11454@61] Received 0 messages
[B: #11454@61] Received 0 messages
[B: #11855@61] Sensed 1 robots
[B: #13552@61] Sensed 5 robots
[B: #13552@61] Received 0 messages
[B: #13552@61] Received 0 messages
[B: #13552@61] Received 0 messages
[B: #13552@61] Received 0 messages
[B: #13552@61] Received 0 messages
[B: #12848@61] Going straight to cheese mine at [26, 14]
[B: #12765@62] Sensed 1 robots
[B: #12765@62] Received 0 messages
[B: #14029@62] Found a cheese mine at [26, 14]
[B: #14029@62] Going straight to cheese mine at [26, 14]
[B: #13525@62] Sensed 4 robots
[B: #13525@62] Received 0 messages
[B: #13525@62] Received 0 messages
[B: #13525@62] Received 0 messages
[B: #13525@62] Received 0 messages
[B: #11367@62] Sensed 2 robots
[B: #11367@62] Found cat at [27, 18]
[B: #11454@62] Sensed 2 robots
[B: #11454@62] Received 0 messages
[B: #11855@62] Sensed 3 robots
[B: #11855@62] Received 0 messages
[B: #11855@62] Received 0 messages
[B: #13552@62] Sensed 5 robots
